tweet_id	labels	author	data
1956983160	sadness	crittyjoy	@Pokinatcha  in all honesty...pain   blech.
1956983171	sadness	paulyum	Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
1956983467	neutral	njc87	At home alone with not much to do
1956983509	worry	heyitsmisti	@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
1956983690	sadness	Trishalove	@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
1956983851	worry	sweetkisses277	So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
1956983874	happiness	joia	So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.
1956983931	neutral	MunkyMunch	I cant give @jertronic any bday nudges.
1956984185	worry	HarryLyme	...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
1956984205	neutral	chicabajoelsol	Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.
1956984559	neutral	Marielii	says I miss plurking.  http://plurk.com/p/wxion
1956984864	worry	Amantou	Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water
1956984894	neutral	Chai_Bo	I miss Voobys!
1956985129	neutral	Cookphotos	@Dancing_Monk Neither are ELP!!
1956985535	happiness	quarrygirl	@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?
1956985612	worry	juliehuang	is sad that shin ae got married...and it wasn't to alex
1956985758	worry	jazz_angela	@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.
1956985764	sadness	Samm_xo	@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
1956985973	neutral	ssabz	there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
1956986211	sadness	metaphysical1	@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.
1956986359	worry	bittenbyte	goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..
1956986767	sadness	AshLaws	@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
1956987381	worry	supkeke	fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
1956987600	hate	naterkane	dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
1956987828	worry	palomalopes24	@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
1956987904	worry	creativevixen86	I can't sleep...I keep thinking about the puppy I played with today
1956987950	worry	smiles4dayyz	.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
1956988145	neutral	padfootly	@lepetitagneau what's going on sweetheart?
1956988218	neutral	callatya	How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows
1956988223	worry	kabilan	Last one month due to summer, strawberry is not availble in the Chennai markets!
1956988477	neutral	enlightenthem	@willxxmobb work at 6am. Gotta go to bed soon
1956989093	love	Angela_Grace	@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
1956989514	sadness	yellowduckx	@sweeetnspicy hiii im on my ipod...i cant fall asleep
1956989526	sadness	KaKuBby	dont wanna work 11-830 tomorrow  but i get paid
1956989560	sadness	benchidol	feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
1956989561	neutral	outrAjusCharmer	PrinceCharming
1956989601	hate	M0anique	@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956989914	worry	Fowl2	First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
1956990288	hate	MissPassion	@mrgenius23 You win ... SIGH Rakeem
1956990413	neutral	Wendywitwoo	Oh is that time for real?
1956990568	sadness	sarah_walter	Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
1956990729	worry	marpizza	Oh no one minute too late! Oh well
1956991009	hate	rdyfrde	@soviet_star Damn, that sucks
1956991673	sadness	M0anique	@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
1956991704	hate	Tweetyangie	@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
1956991723	worry	briwyatt	ahh! big scary bug flying around my room!!!!!
1956992030	sadness	mafiaman8108	I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!
1956992144	worry	Margotkay	is up with a nasty cough i cant be sick i have a huge weekend ahead of me
1956992349	neutral	jarekpastor	@justamedicine  That was stone cold   Crazy....  ?
1956993007	boredom	villa_ld	i'm so tired
1956993080	neutral	cheiyinkeithsui	shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo
1956993206	neutral	dashdragan	@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.
1956994067	neutral	lockerhaxor	@thecreativeone I second that. I wish it rained more where I am
1956995196	sadness	jnvelasquez912	@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
1956995505	neutral	twakatovsrocks	damn it were is Eric or anyone else when you need your hair to be played with
1956995679	neutral	jmil1733	I'm feel deflated. Ugh. No more dog.
1956995762	sadness	foxtail84	Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
1956995852	neutral	ErikaAlexxis	Well it almost was a good day... Guess I just retry tomorrow
1956996081	hate	snursalim	@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
1956996385	love	votech	@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
1956996470	worry	ohmygoshnina	@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.
1956996673	hate	Merekdavis	@britblackbird  youstinkatrespondingtotexts!
1956996730	sadness	Rowch	wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
1956996765	happiness	rarmendariz	Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.
1956996776	sadness	KitaCupcake	Is miserable  i feel like im gona cry  sux!
1956997143	neutral	louiethecat	@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
1956997352	worry	1azylizzie	$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
1956997619	neutral	kudosbeauty	claire @breakfastnt love the show, got into the office @ 5am and no radio
1956998370	love	rockinchick11	Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
1956998532	sadness	katienaas	*sigh* I'm going to bed... I just don't feel right anymore...
1956998538	neutral	jeannicole	What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
1956998698	neutral	FoOie	@jwillock EpiCentre Wheelock Place - tourists only..
1956998704	sadness	sillynic	Now I am depressed after watching so you think you can dance
1957000040	sadness	minauderie	Just cross 'cause I'm stuck twiddling my thumbs now, ugh
1957000077	neutral	danzjoe	miss 16'th
1957000152	neutral	RoxieDax	@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.
1957000290	worry	Ohtybaby	I cant sleep, but im too sore to move
1957000314	neutral	Phenikone	@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
1957000336	empty	Gen22	@softtouchme just answered you- never learned how to write in French- just basic stuff-
1957000372	neutral	cv70	what is it with chocolates? i just can never say no
1957000788	worry	zpavic	Achieving a new appreciation on how a xml build script can really be painful and cumbersome
1957001049	neutral	amy__xx	@ether_radio i'm too awake now  ill have a nap this afternoon
1957001370	worry	katlovesjoelk	@omfgiselle i cant do anything
1957001496	neutral	miss_sammi	still needs another 6 hours of sleep
1957001506	relief	benmfowler	I'm at work
1957001854	fun	Samiijoo	RIP leonardo. You were a great mini fiddler crab
1957001967	neutral	mozwold	Morning tweeple,way to early again
1957002082	sadness	V0NST3V3	Last day working for the Uni today, sad times
1957002773	love	UncoolRockstar	@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far
1957002923	worry	indpndentgirly	My head hurts so bad I could scream!
1957003048	worry	rianne_kelsey	i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
1957003356	worry	nettlej	New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
1957003440	worry	autotips	New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
1957003715	neutral	BlaqueBeautyy	where are all ma bestfriends at ? , MIA or wat ?
1957004184	worry	rionne	oh men!!!!!!......I really can't see my face........c'mon guys!!!
1957004519	worry	asteinke	I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old
1957004606	worry	riannasc	my sole supporter is not my sole supporter
1957004749	hate	golden_one	don't you hate it when you finish all your work and there's still 1.25 hours left of work time
1957005165	worry	RebeccaBrunner	@Emilyyy16 urgh stop it guys
1957005226	sadness	GiselleLee	is still missing her husband.    I really want him home.
1957005279	sadness	PYTDavis	I miss my puppy
1957005410	surprise	HIM357	2 days of this month left, and I only have 400MB left on my onpeak downloads.
1957005696	fun	nickhalme	@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
1957005713	sadness	smilyross	@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
1957005817	worry	JBabyLove	Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
1957006033	sadness	klybob	@BarbSchaefer yearling in pet home died... very sad for their whole family
1957006074	neutral	rnbprincess79	fun in the sun hmmm hell no it's cold
1957006098	worry	puelladei	I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
1957006245	sadness	bella_facia	@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.
1957006307	worry	ninz_0214	is feeling sad... for some reason..  http://plurk.com/p/wxji3
1957006547	sadness	spookychan	well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
1957006674	sadness	nel5on	just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
1957006725	neutral	andrewjennings	@juneyee i don't think so.  I WANT DETAILS.
1957006830	neutral	AddITame	@jackgraycnn Hi...!!! Who is Mary Poppins???
1957006947	worry	miiiiiiike	@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards
1957007167	neutral	Dillontate	my last tweet didn't send  bad phone
1957007268	fun	EmaMolly	@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
1957007357	empty	_SNO_	Have a headache  I'm going to bed. Goodnight!
1957007394	neutral	jarekpastor	@taxidermi  I was watching Parental Control
1957007437	fun	grrimadinox	@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay
1957007633	sadness	IAmYourDensity	I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
1957007981	worry	MunkyMunch	@jertronic it wont let me
1957008075	sadness	Inamint	Took a shift tomorrow.    I don't really feel like working right now.
1957008193	sadness	kimchiipanda	but now i have no money for a phone
1957008287	worry	KarlOnSea	Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
1957008292	worry	RoseMarionTyler	@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
1957008434	surprise	Just_Cath	@Bern_morley where are you? In Bris? I can't hear any thunder
1957008478	surprise	bekahjayne	bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!
1957008498	sadness	CathyDohling	Too bad the Red Devils.. disappointing to say the least
1957008766	surprise	shutitoff	I had a dream about a pretty pretty beach and there was no beach when I woke up
1957008802	sadness	pfak	@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).
1957008987	surprise	lilTanker	when da heck will the garage man get here I ask you.. WHEN..
1957009454	worry	woahitsJana	Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff
1957009666	hate	wendyisastar	@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010072	worry	tiffalo	why are plane tickets so expensive
1957010329	fun	NoteRobot	(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
1957010415	worry	trina3mg	Needs a job BADLY!!!
1957011291	sadness	ABCeCe	@AlexanderGWhite daaammmnnnnn I do wish I was there.
1957011738	worry	ignoredt	Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
1957012476	sadness	nickhalme	@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
1957012535	empty	SexyBeach	@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4
1957012769	sadness	ditzyfrenchfrys	is a bad friend
1957013149	neutral	cheeseyy	@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
1957013166	hate	jupzchris	@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
1957013488	neutral	LetitiaIvy	@aiderushton ill be over in an oir
1957013697	neutral	Labellajuicy	@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
1957013723	hate	babygurl0791	would wish the severe migrains would stop!!! doc's prescriptions arent working
1957013804	love	jammmaster1021	@bobbyedner i missed the game
1957013885	sadness	debraladiva	@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby
1957013895	hate	kkjordan	@tiffalo cuz airlines are super lame.
1957013896	sadness	sigitt	@lenje - Still a pity it comes with no lamb though
1957014267	sadness	Karoli	@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
1957014389	relief	misscinders	is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat
1957014493	hate	Taynted_lyfe	I'm so very tired...and have insomnia.
1957014517	neutral	dalastmil62	@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
1957014653	neutral	sloanquigley	@yelgiuQnayR airport? and you didnt show up tonight homo!
1957014706	hate	butteredninja	I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.
1957015287	neutral	skk123	@MrRathbone what about me
1957015475	neutral	WgtnCoffeeCup	Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking
1957015719	worry	dancingwithself	people in my house do not know how to close doors
1957016086	surprise	chrisshennan	Why am I completing facebook quizzes at this time of the morning... especially a friday morning
1957016169	neutral	thatonebroad	out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
1957016339	worry	R_nB	@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
1957016697	sadness	fritoleva	Had to cancel wow for now
1957016818	worry	PnkRckGirl97	wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
1957017164	sadness	RoxieDax	@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
1957017177	worry	KCSuzy	It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.
1957017320	worry	xSpotlighted	@__sugar oh no  i am always here ;) &lt;3
1957017333	neutral	serinurshira	back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
1957017486	neutral	skypen	@ poll : was trying to get it to work in a powerpoint to no avail.
1957017522	happiness	Davislb921	took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.
1957017595	happiness	c10gg3rgirl	omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go
1957017610	neutral	thetoughsams	@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!
1957018061	sadness	lsvdmbfan	Up late with nothin 2 do.....
1957018162	worry	leilanire	i think the vog is making me sicker than i think. feeling slightly achy
1957018678	empty	oohZOE	@TheTombert i was watching Harpers Island, lol... there was no vodka involved
1957019034	worry	monkeylover96	i am doing homework it sux big time maths is the worst!!!!!!
1957019121	neutral	portablegamer	@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.
1957019458	neutral	RefinedCaliber	#3wordsaftersex it never started...
1957019556	sadness	JMarmo13	sometimes i wish things could go back to the way they were the beginning of last summer
1957019715	worry	Mrs_Jackman	I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't
1957019766	empty	retroglo	@tarng Trudy's off Burnet...the one up north that no one goes to
1957020180	sadness	ChickenNuggets	@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.
1957020385	happiness	itspaigepenales	I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more
1957020390	worry	Karmenyl	i'm sooooooooooooo confused
1957020593	neutral	anbudan_BALA	With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well
1957020624	worry	Tonysize	Work day 7 of 7,
1957020702	happiness	HD_Fury	Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
1957020861	neutral	BritishAtHeart1	I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only
1957021039	worry	Musti08	@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban
1957021224	neutral	la_oooo_ra	@mysticnz no im not  cries LOL
1957021305	sadness	AndyClaudine	Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
1957021321	surprise	FoOie	@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today
1957021486	hate	karissaferg	I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
1957021631	neutral	KittyPoops	Come on Knight... It's been well over 4 hours
1957022610	worry	leonperkin	not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
1957022799	surprise	dan11ela	@FoxxFiles aw u can't let me in on the secret!
1957023061	surprise	MissxMarisa	@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.
1957023133	worry	AmyFuentes	no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...
1957023263	hate	youulovemee	i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.
1957023739	hate	Tin06	Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
1957023842	neutral	hoolahoopchick	twittascope is NOT rocking my socks - go away already!!
1957023917	neutral	schlingel	Driving Back home because I forgot the piece of cake for @v_era
1957024334	worry	o0hmaig0d	@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
1957025428	sadness	lungjen	Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol
1957026475	sadness	annamaurice	It's pissing me off and not letting me follow ericka
1957027495	sadness	FreddyS87	Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
1957027630	sadness	CforrClemmensen	my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
1957027687	neutral	lucasd	@koifusionpdx i was so close to the tacos...one spot too late
1957027841	empty	730Fam	@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin
1957028656	surprise	Fairywinds	is thinking so much and i'm at work
1957028775	worry	MllexCamelia	I have forgot the live with the Jonas Brothers on Facebook
1957028895	sadness	d0nnadean	I haven't seen Muffin in two whole days!
1957029111	sadness	InNoSenseLost	@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
1957029634	surprise	maddy_1212	my gap year is going so quick
1957029641	worry	jocelleuntalan	I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....
1957029899	neutral	tokyojackson	@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
1957030196	worry	SoSpoiledDatsMe	my twitter has been hacked again
1957030545	sadness	faddict	Just found mj mouse flats at DJs. Of course there are none left in my size
1957030596	neutral	PULLINGTEEETH	@passingcarss i wont have time to buy  and i need a new binder pa
1957030622	hate	sharnanicole	@lanacaitlin  hahaha well its try its so ugly
1957030793	neutral	aeria_gloris	25-man Ulduar is hard...
1957031520	worry	Intel_Eric	@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you
1957031859	fun	KylieMalchus	@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
1957032014	neutral	Simranvfc	night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
1957032051	neutral	allieeeec	@princess_oats this is happening to me too
1957032114	surprise	johnnypurple	@qi_tah oh no.  *hugs*
1957032127	neutral	minauderie	@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk
1957032228	sadness	tiffanylue	@xoshayzers i knoww  things won't be the samee &lt;/3
1957032539	worry	tweeterchic66	OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.
1957033043	happiness	carlysialevert	@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
1957033103	worry	sjwilling	Okay, so twitter suddenly changed, how do I respond to messages now
1957033219	neutral	mstellacrap	ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
1957033558	worry	Rossco_NZ	Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
1957033776	sadness	vivianenguyen	Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
1957033815	neutral	ANDREAMARIEXOXO	@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
1957033874	hate	Lilixbabi3	I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
1957033901	worry	ACjoint	sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend
